Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
218,ECU,Ecuador,Latin America and the Caribbean,2006,12190459.51,27694467.18
222,SLV,El Salvador,Latin America and the Caribbean,2006,722751.7817,1243856.374
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2006,8088126.561,17137865.9
231,ETH,Ethiopia,Sub-Saharan Africa,2006,1545522.573,1142987.827
232,ERI,Eritrea,Sub-Saharan Africa,2006,6484.119,10540.51
233,EST,Estonia,Europe,2006,4144186.635,11722063.65
234,FRO,Faeroe Islands,Europe,2006,634826.5843,337950.0918
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2006,151736.97,66534.186
239,SGS,South Georgia and the South Sandwich Islands,,2006,4625.661,9543.224
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2006,570031.0947,1264337.73
246,FIN,Finland,Europe,2006,20607689.93,24607622.61
251,FRA,France,Europe,2006,83905413.86,152377963.9
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),2006,231532.8943,20034.84108
260,ATF,French Southern Territories,,2006,1711.108,306.868
262,DJI,Djibouti,Sub-Saharan Africa,2006,83588.264,153113.386
266,GAB,Gabon,Sub-Saharan Africa,2006,5321826.961,12522876.55
268,GEO,Georgia,Northern Africa and Western Asia,2006,1388234.358,3434791.706
270,GMB,Gambia,Sub-Saharan Africa,2006,36671.13632,49740.0293
275,PSE,State of Palestine,Northern Africa and Western Asia,2006,28683.922,95385.301
276,DEU,Germany,Europe,2006,140623213.7,272012227.4
288,GHA,Ghana,Sub-Saharan Africa,2006,2617422.214,4812830.584
292,GIB,Gibraltar,Europe,2006,38894.54,55300.709
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),2006,6743.049,6293.92
300,GRC,Greece,Europe,2006,10121147.07,17668850.9
304,GRL,Greenland,Northern America,2006,383084.6585,392095.9902
308,GRD,Grenada,Latin America and the Caribbean,2006,17422.21169,12854.45011
316,GUM,Guam,Oceania (excl. Australia and New Zealand),2006,48580.407,85799.6
320,GTM,Guatemala,Latin America and the Caribbean,2006,2694945.498,5619157.014
324,GIN,Guinea,Sub-Saharan Africa,2006,1265646.77,15838515.6
328,GUY,Guyana,Latin America and the Caribbean,2006,602844.6356,1841777.053
332,HTI,Haiti,Latin America and the Caribbean,2006,42764.123,56509.638
334,HMD,Heard Island and McDonald Islands,,2006,39.482,10.064
336,VAT,Holy See,Europe,2006,1741.437,1903.305
340,HND,Honduras,Latin America and the Caribbean,2006,1505527.268,2287776.789
344,HKG,"China, Hong Kong SAR",China,2006,18762738.27,9880089.93
348,HUN,Hungary,Europe,2006,7853597.066,18285882.68
352,ISL,Iceland,Europe,2006,3078332.153,1687119.934
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),2006,68715227.54,319456317.9
364,IRN,Iran,Central and Southern Asia,2006,76328913.12,150829344
368,IRQ,Iraq,Northern Africa and Western Asia,2006,28896498.75,68447823.97
372,IRL,Ireland,Europe,2006,8742967.605,10165679.11
376,ISR,Israel,Northern Africa and Western Asia,2006,18635984.59,8143773.58
381,ITA,Italy,Europe,2006,59736715.73,72275785.7
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,2006,6870327.972,9596095.356
388,JAM,Jamaica,Latin America and the Caribbean,2006,601375.5485,5193015.475
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),2006,53928701.19,89544394.94
398,KAZ,Kazakhstan,Central and Southern Asia,2006,35557408.32,125793880.1
