Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
535,BES,Bonaire,Latin America and the Caribbean,2012,,
540,NCL,New Caledonia,Oceania (excl. Australia and New Zealand),2012,1110535.862,1919108.221
548,VUT,Vanuatu,Oceania (excl. Australia and New Zealand),2012,90768.876,126399.079
554,NZL,New Zealand,Australia and New Zealand,2012,10592193.01,14048291.54
558,NIC,Nicaragua,Latin America and the Caribbean,2012,2565848.493,3852424.481
562,NER,Niger,Sub-Saharan Africa,2012,635346.5933,1374754.473
566,NGA,Nigeria,Sub-Saharan Africa,2012,17744893.11,22139813.28
568,,"Other Europe, nes",,2012,44764996.21,54994414.38
570,NIU,Niue,Oceania (excl. Australia and New Zealand),2012,4840.346,3671.052
574,NFK,Norfolk Islands,Australia and New Zealand,2012,4165.907,1966.053
577,,"Other Africa, nes",,2012,11426154.26,14313031.27
579,NOR,Norway,Europe,2012,18971161.29,21981117.73
580,MNP,Northern Mariana Islands,Oceania (excl. Australia and New Zealand),2012,20935.936,22041.386
581,UMI,United States Minor Outlying Islands,,2012,75254.163,75370.597
583,FSM,Micronesia,Oceania (excl. Australia and New Zealand),2012,109804.2343,131242.2622
584,MHL,Marshall Islands,Oceania (excl. Australia and New Zealand),2012,384931.799,630443.88
585,PLW,Palau,Oceania (excl. Australia and New Zealand),2012,86173.74333,64599.16098
586,PAK,Pakistan,Central and Southern Asia,2012,24062055.3,36087387.35
591,PAN,Panama,Latin America and the Caribbean,2012,13384470.96,18960080.99
598,PNG,Papua New Guinea,Oceania (excl. Australia and New Zealand),2012,2252922.479,4724775.753
600,PRY,Paraguay,Latin America and the Caribbean,2012,3098315.748,3012310.833
604,PER,Peru,Latin America and the Caribbean,2012,13348799.48,20843593.02
608,PHL,Philippines,Eastern and South-Eastern Asia (excl. China),2012,29904462.7,51588323.69
612,PCN,Pitcairn,Oceania (excl. Australia and New Zealand),2012,48.683,60.565
616,POL,Poland,Europe,2012,59010709.14,101804025.7
620,PRT,Portugal,Europe,2012,28971483.29,40789527.91
624,GNB,Guinea-Bissau,Sub-Saharan Africa,2012,143273.671,383209.91
626,TLS,Timor-Leste,Eastern and South-Eastern Asia (excl. China),2012,173748.131,364591.675
634,QAT,Qatar,Northern Africa and Western Asia,2012,4415284.514,34144202.22
637,,"North America and Central America, nes",,2012,79022446.87,100870056.1
642,ROU,Romania,Europe,2012,20259927.55,30706515.35
643,RUS,Russian Federation,Europe,2012,51845679.23,116253928.2
